name	img
"Banish from Edoras"	jp_7f73e61db0.png
"The Battle of Bywater"	jp_23d283ffa4.png
"Bill the Pony"	jp_0be114b28c.png
"Boromir, Warden of the Tower"	jp_fb1789b4e8.png
"Dawn of a New Age"	jp_ff5e656cd2.png
"Dúnedain Blade"	jp_352ff242df.png
"Eagles of the North"	jp_f5b549d145.png
"Eastfarthing Farmer"	jp_951d1beebe.png
"East-Mark Cavalier"	jp_ffff91cc3e.png
"Éowyn, Lady of Rohan"	jp_b7f86b6035.png
"Errand-Rider of Gondor"	jp_1e06dc3e63.png
"Escape from Orthanc"	jp_12878ff16f.png
"Esquire of the King"	jp_1c8164c1c9.png
"Faramir, Field Commander"	jp_dbc7f8ba82.png
"Flowering of the White Tree"	jp_97dd458a0d.png
"Fog on the Barrow-Downs"	jp_b2ec981ebe.png
"Forge Anew"	jp_3fc0626c1a.png
"Frodo, Sauron's Bane"	jp_e1bbe34ee3.png
"Gandalf the White"	jp_3f90145a2e.png
"Hobbit's Sting"	jp_1d876a0c71.png
"Landroval, Horizon Witness"	jp_d94b73a09a.png
"Lost to Legend"	jp_6c014101f9.png
"Nimble Hobbit"	jp_f848b2c18c.png
"Now for Wrath, Now for Ruin!"	jp_9558d87579.png
"Protector of Gondor"	jp_4f066fb960.png
Reprieve	jp_4091fe02ca.png
"Rosie Cotton of South Lane"	jp_1a35488dc9.png
"Samwise the Stouthearted"	jp_6bc5bdc625.png
"Second Breakfast"	jp_3fee6126d8.png
"Shire Shirriff"	jp_79c0c88ec7.png
"Slip On the Ring"	jp_11ea22b237.png
"Soldier of the Grey Host"	jp_c0de73badc.png
"Stalwarts of Osgiliath"	jp_c87708a0fd.png
"Tale of Tinúviel"	jp_1bd432afbb.png
"Took Reaper"	jp_df99fbdf61.png
"War of the Last Alliance"	jp_19fc89a2bb.png
"Westfold Rider"	jp_632da783ba.png
"You Cannot Pass!"	jp_7fce66a4fd.png
"Arwen's Gift"	jp_d86a02f4f6.png
"The Bath Song"	jp_016129ac17.png
"Bewitching Leechcraft"	jp_baef8066da.png
"Bill Ferny, Bree Swindler"	jp_6bb7a18ad8.png
"Birthday Escape"	jp_427805f59d.png
"Borne Upon a Wind"	jp_914c6544a1.png
"Captain of Umbar"	jp_03afec8312.png
"Council's Deliberation"	jp_6cb3c900e6.png
"Deceive the Messenger"	jp_98f6a7b6d5.png
"Dreadful as the Storm"	jp_5384b3b0cf.png
"Elrond, Lord of Rivendell"	jp_3c8590a426.png
"Gandalf, Friend of the Shire"	jp_187c3492bc.png
"Glorious Gale"	jp_c0c7b1a6b2.png
"Goldberry, River-Daughter"	jp_9900c8d6be.png
"Grey Havens Navigator"	jp_160252516d.png
"Hithlain Knots"	jp_05947f1a80.png
